ID,Book,Author,Year First Published,Status,Books3 Publisher,bibtex name,Random,Books3 manifest entry
89,The Outsiders,"Hinton, S. E.",1967,all rights reserved,Penguin Books; The Viking Press; Puffin Books,The_Outsiders,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Outsiders%20-%20SE%20Hinton.epub
90,The Second Summoning,"Huff, Tanya",2001,all rights reserved,DAW Books,The_Second_Summoning,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Second%20Summoning%20-%20Tanya%20Huff.epub
91,Selected Poems of Langston Hughes,"Hughes, Langston",1959,all rights reserved,Vintage Books; Random House of Canada Limited,Selected_Poems_of_Langston_Hughes,FALSE,https://the-eye.eu/public/Books/Bibliotik/S/Selected%20Poems%20of%20Langston%20Hugh%20-%20Langston%20Hughes.epub
92,M. Butterfly,"Hwang, David Henry",1988,all rights reserved,Plume; Penguin Group (USA) Inc.,M_Butterfly,FALSE,https://the-eye.eu/public/Books/Bibliotik/M/M.%20Butterfly%20-%20David%20Henry%20Hwang.epub
93,Building and Operating a Realistic Model Railway,"Jackson, Allen",2016,all rights reserved,The Crowood Press Ltd,Building_and_Operating_a_Realistic_Model_Railway,TRUE,https://the-eye.eu/public/Books/Bibliotik/B/Building%20and%20Operating%20a%20Realistic%20Model%20Railway%20-%20Allen%20Jackson.epub
94,All the Onions,"Jacobs, Betty",1993,all rights reserved,"Storey Publishing, LLC",All_the_Onions,TRUE,https://the-eye.eu/public/Books/Bibliotik/A/All%20the%20Onions%20-%20Betty%20E.%20M.%20Jacobs.epub
95,Fifty Shades of Grey,"James, E. L.",2011,all rights reserved,The Writer's Coffee Shop Publishing House; Vintage Books; Random House of Canada Limited,Fifty_Shades_of_Grey,FALSE,https://the-eye.eu/public/Books/Bibliotik/F/Fifty%20Shades%20Darker%20-%20E%20L%20James.epub
96,The Stone Sky,"Jemisin, N. K.",2017,all rights reserved,Orbit,The_Stone_Sky,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Stone%20Sky%20-%20N.%20K.%20Jemisin.epub
97,Ulysses,"Joyce, James",1922,public domain,Penguin Books Ltd,Ulysses,FALSE,https://the-eye.eu/public/Books/Bibliotik/U/Ulysses%20-%20James%20Joyce%20-%20Penguin%20Group%20-%202000.epub
98,Sandman Slim,"Kadrey, Richard",2009,all rights reserved,HarperCollins e-books; HarperCollins Publishers Inc.,Sandman_Slim,FALSE,https://the-eye.eu/public/Books/Bibliotik/S/Sandman%20Slim%20-%20Richard%20Kadrey.epub
99,Ethnography after Antiquity,"Kaldellis, Anthony",2013,all rights reserved,University of Pennsylvania Press,Ethnography_after_Antiquity,TRUE,https://the-eye.eu/public/Books/Bibliotik/E/Ethnography%20After%20Antiquity%20-%20Anthony%20Kaldellis.epub
100,Who Is Rich?,"Klam, Matthew",2017,all rights reserved,Random House; Penguin Random House LLC,Who_Is_Rich,FALSE,https://the-eye.eu/public/Books/Bibliotik/W/Who%20Is%20Rich_%20-%20Matthew%20Klam.epub
101,The Servants of Twilight,"Koontz, Dean",1984,all rights reserved,The Berkley Publishing Group; Penguin Group (USA) Inc.,The_Servants_of_Twilight,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Servants%20of%20Twilight%20-%20Dean%20Koontz.epub
102,Tai Chi for Depression,"Kuhn, Aihan",2017,all rights reserved,"YMAA Publication Center, Inc.",Tai_Chi_for_Depression,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/Tai%20Chi%20for%20Depression%20-%20Aihan%20Kuhn.epub
103,The Tide Was Always High,"Kun, Josh",2017,all rights reserved,University of California Press,The_Tide_Was_Always_High,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Tide%20Was%20Always%20High%20-%20Josh%20Kun.epub
104,Girl in Translation,"Kwok, Jean",2010,all rights reserved,Riverhead Books; Penguin Group (USA) Inc.,Girl_in_Translation,TRUE,https://the-eye.eu/public/Books/Bibliotik/J/JeanKwok-GirlinTranslation_9781101182673.epub
